suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
tsp20,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",1280,1,1280,0,,concorde,instances,1.3097162243624893e-17,7.964722385485532e-18,1.394717674685353e-16,6.468525849570894e-18,3.846968263145569,0.04703952658280848,60.21059402599485
tsp20,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",1280,1,1280,0,,concorde,instances,1.5439038936193584e-17,7.735978023499536e-18,1.4380857615847732e-16,6.333672806773e-18,3.8469682631455684,0.04065835061249743,52.04268878399671
tsp20,"callable:fn=tspgnn.api:solve_sample,guide=gnn,name=gnn+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.00035680360879751315,0.0001068916439267955,0.00035680360879763296,0.00010689164392679518,3.8483780849763605,0.00598530918906146,7.66119576199867
tsp20,"callable:fn=tspgnn.api:solve_sample,guide=dist,name=dist+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.00042555775979877453,0.00011269051388366284,0.00042555775979889466,0.00011269051388366231,3.848651134698244,0.0010096719882803028,1.2923801449987877
tsp50,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",1280,1,1280,0,,concorde,instances,1.706456314258687e-05,1.5082851502405812e-05,1.7064563142663545e-05,1.5082851502405567e-05,5.686542911149048,0.11567749637187515,148.06719535600018
tsp50,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",1280,1,1280,0,,concorde,instances,0.0001267008073138922,5.326551241788312e-05,0.00012670080731396748,5.3265512417882756e-05,5.687172848742362,0.10110972201484394,129.42044417900024
tsp50,"callable:fn=tspgnn.api:solve_sample,guide=gnn,name=gnn+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.004570087869195202,0.0003272837660383997,0.0045700878691952804,0.0003272837660383993,5.712596336290626,0.01454715334218406,18.620356277995597
tsp50,"callable:fn=tspgnn.api:solve_sample,guide=dist,name=dist+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.007915730587133551,0.00041620515438054123,0.00791573058713363,0.0004162051543805407,5.731793748591004,0.0018078808304693439,2.31408746300076
tsp100,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",1280,1,1280,0,,concorde,instances,0.0006817017171891917,0.00011797357259052891,0.0006817017788271306,0.00011797357151868703,7.7617599053102655,0.23101908314922087,295.70442643100273
tsp100,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",1280,1,1280,0,,concorde,instances,0.001559777555920996,0.00018242303711822364,0.0015597776180833168,0.00018242304424232738,7.768538946715401,0.20192339654843608,258.4619475819982
tsp100,"callable:fn=tspgnn.api:solve_sample,guide=gnn,name=gnn+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.013078350255153859,0.00040088354428495363,0.01307835031755851,0.00040088354398543676,7.857974362461567,0.028137328109376726,36.01577998000221
tsp100,"callable:fn=tspgnn.api:solve_sample,guide=dist,name=dist+sample16,stochastic=true",1280,1,1280,0,,concorde,instances,0.02457017381521854,0.0005647893500008698,0.024570173878119987,0.0005647893486364162,7.947225541173486,0.0037650443000062594,4.819256704008012
