suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
manhattan100:num=128,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",128,1,128,0,,concorde,instances,0.0004936149203727813,0.00025239699982720025,0.0004936149203728819,0.0002523969998271955,9.675174456865909,0.2359247224609291,30.198364474998925
manhattan100:num=128,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",128,1,128,0,,concorde,instances,0.0014738769684699959,0.0006138039175952304,0.0014738769684700982,0.0006138039175952285,9.684665103360736,0.2019282517187495,25.846816219999937
manhattan100:num=128,"callable:fn=tspgnn.api:solve_sample,guide=gnn,name=gnn+sample16,stochastic=true",128,1,128,0,,concorde,instances,0.015231075772374638,0.0013480421187488912,0.015231075772374729,0.0013480421187488905,9.817950952640523,0.025815395312495326,3.3043705999994017
manhattan100:num=128,"callable:fn=tspgnn.api:solve_sample,guide=dist,name=dist+sample16,stochastic=true",128,1,128,0,,concorde,instances,0.031036984781320498,0.002116247904811753,0.031036984781320595,0.002116247904811756,9.971138005658904,0.00316801078905371,0.4055053809988749
chebyshev100:num=128,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",128,1,128,0,,concorde,instances,0.000632092063374395,0.00035038322303410584,0.0006320920633744558,0.00035038322303410454,6.935362509905586,0.23694174565623882,30.32854344399857
chebyshev100:num=128,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",128,1,128,0,,concorde,instances,0.001349214246290969,0.0005027245148189676,0.0013492142462910254,0.0005027245148189681,6.940270331108064,0.2022667987187461,25.8901502359995
chebyshev100:num=128,"callable:fn=tspgnn.api:solve_sample,guide=gnn,name=gnn+sample16,stochastic=true",128,1,128,0,,concorde,instances,0.014116380271373808,0.0012189177166250864,0.014116380271373874,0.0012189177166250884,7.0286281309406835,0.026608363203143526,3.4058704900023713
chebyshev100:num=128,"callable:fn=tspgnn.api:solve_sample,guide=dist,name=dist+sample16,stochastic=true",128,1,128,0,,concorde,instances,0.02954516446962812,0.0019445630657529377,0.029545164469628175,0.001944563065752937,7.135816157782948,0.004156855437503992,0.532077496000511
clustered100:num=128,"callable:fn=tspgnn.api:solve_search,guide=gnn,name=gnn+search,stochastic=true",128,1,128,0,,concorde,instances,0.0003395675922699378,0.00023062946215169532,0.0003395675922700115,0.00023062946215169486,3.623053745241392,0.23692705397654734,30.32666290899806
clustered100:num=128,"callable:fn=tspgnn.api:solve_search,guide=dist,name=dist+search,stochastic=true",128,1,128,0,,concorde,instances,0.0018953377154238681,0.0010808781328187956,0.0018953377154239445,0.0010808781328187965,3.629045673811568,0.20190073585155943,25.843294188999607
