suite,solver,instances,seeds,ok,failed,failures,reference,ci_over,gap_mean,gap_ci95,gap_best_mean,gap_best_ci95,length_mean,time_mean_s,time_total_s
tsp1000,"callable:fn=tspgnn.api:solve_search,guide=dist,time_per_node=0.004,name=dist+search(2x),stochastic=true",128,1,128,0,,lkh,instances,0.007425791078509405,0.00039729102540687336,0.007425791078509405,0.00039729102540687336,23.290484089598905,4.070224637062509,520.9887535440012
tsp1000,"callable:fn=tspgnn.api:solve_search,guide=gnn,time_per_node=0.001,name=gnn+search(0.5x),stochastic=true",128,1,128,0,,lkh,instances,0.006285525095127023,0.00035488314194321555,0.006285525095127023,0.00035488314194321555,23.26410068800122,1.2439709984843823,159.22828780600094
nonmetric1000:num=128,"callable:fn=tspgnn.api:solve_search,guide=dist,time_per_node=0.004,name=dist+search(2x),stochastic=true",128,1,128,0,,lkh,instances,0.1664133070915699,0.002288674212888175,0.1664133070915699,0.002288674212888175,2.387873189671309,4.05146126096875,518.587041404
nonmetric1000:num=128,"callable:fn=tspgnn.api:solve_search,guide=gnn,time_per_node=0.001,name=gnn+search(0.5x),stochastic=true",128,1,128,0,,lkh,instances,0.04534237987025021,0.0012361894244344645,0.04534237987025021,0.0012361894244344645,2.139997324069805,1.2097525405937368,154.8483251959983
